Car Brand,Fuel Type,Aspiration,Number of Doors,Car Body,DriveWheel,Engine Location,Engine Type,Number of Cylinders,Fuel System,Price in Dollars
alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,13495
alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi,16500
alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi,16500
audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi,13950
audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi,17450
audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi,15250
audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi,17710
audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi,18920
audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi,23875
audi,gas,turbo,two,hatchback,4wd,front,ohc,five,mpfi,17859.167
bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi,16430
bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi,16925
bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,20970
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,21105
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,24565
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,30760
bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi,41315
bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi,36880
chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl,5151
chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6295
chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6575
dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5572
dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6377
dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi,7957
dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,6229
dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6692
dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7609
dodge,gas,turbo,two,sedan,fwd,front,ohc,four,mpfi,8558
dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl,8921
dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi,12964
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6479
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6855
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,5399
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,6529
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,7129
honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,7295
honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl,7295
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,7895
honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl,9095
honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,8845
honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl,10295
honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi,12945
honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl,10345
isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl,6785
isuzu,gas,std,two,sedan,fwd,front,ohc,four,2bbl,8916.5
isuzu,gas,std,four,sedan,fwd,front,ohc,four,2bbl,8916.5
isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi,11048
jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,32250
jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi,35550
jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi,36000
maxda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5195
maxda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6095
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6795
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6695
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7395
mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,10945
mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,11845
mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl,13645
mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi,15645
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,8845
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,8495
mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,10595
mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl,10245
mazda,diesel,std,four,sedan,fwd,front,ohc,four,idi,10795
mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,11245
mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi,18280
mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi,18344
buick,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,25552
buick,diesel,turbo,four,wagon,rwd,front,ohc,five,idi,28248
buick,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi,28176
buick,diesel,turbo,four,sedan,rwd,front,ohc,five,idi,31600
buick,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,34184
buick,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi,35056
buick,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi,40960
buick,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi,45400
mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi,16503
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,5389
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6189
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,6669
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,7689
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,9959
mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,8499
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,12629
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,14869
mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi,14489
mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6989
mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl,8189
mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi,9279
mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi,9279
Nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,5499
nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi,7099
nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,6649
nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,6849
nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,7349
nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl,7299
nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl,7799
nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,7499
nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl,7999
nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl,8249
nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl,8949
nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl,9549
nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi,13499
nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi,14399
